Label,Area,Mean,Min,Max,XM,YM,BX,BY,Width,Height,Circ.,AR,Round,Solidity,Sample,Area_mm2,Date,Converted date,Time,Converted time,Date+time,Elapsed time (Days)
Stack:DSCF7219,102761,172.53,127,199,1021.7,878.94,838,698,366,370,0.42,1,1,0.97,C2,129.6130425,7/29/2022,44771,10:34:00,0.440277778,44771.44028,3
Stack:DSCF7295,337174,178.2,119,217,757.88,916.89,426,594,659,660,0.5,1.01,0.99,0.99,C2,425.2795124,8/3/2022,44776,10:06:04,0.42087963,44776.42088,8
Stack:DSCF7322,384151,179.56,129,214,760.76,903.73,406,564,711,701,0.48,1.01,0.99,0.98,C1,484.5318737,8/4/2022,44777,10:31:04,0.438240741,44777.43824,9
Stack:DSCF7323,365299,183.79,130,225,770.02,706.52,427,365,696,693,0.2,1.02,0.98,0.96,C2,460.7537373,8/4/2022,44777,10:31:04,0.438240741,44777.43824,9
Stack:DSCF7356,405668,176.93,125,218,934.87,828.99,574,478,724,717,0.68,1.02,0.98,0.99,C1,511.67139,8/5/2022,44778,9:46:02,0.406967593,44778.40697,9.9
Stack:DSCF7357,380865,166.87,117,223,894.92,837.27,551,496,708,699,0.43,1.03,0.97,0.99,C2,480.3872229,8/5/2022,44778,9:46:02,0.406967593,44778.40697,9.9
Stack:DSCF7379,475080,169.77,124,223,868.61,875.55,477,500,793,771,0.42,1.03,0.97,0.98,C1,599.2211463,8/9/2022,44782,11:11:04,0.466018519,44782.46602,14
Stack:DSCF7380,460369,170.03,123,220,861.23,771.12,477,398,780,773,0.43,1.02,0.98,0.98,C2,580.666077,8/9/2022,44782,11:11:04,0.466018519,44782.46602,14
"D3stack.tif:	2022:08:04 10:35:1",435833,167.39,107,205,978.11,721.71,603,352,754,754,0.32,1.01,0.99,0.98,D3,549.7186786,8/4/2022,44777,10:31:04,0.438240741,44777.43824,9
"D3stack.tif:	2022:08:05 09:43:2",495604,163.34,98,208,843.17,653.91,450,260,806,803,0.26,1.02,0.99,0.98,D3,625.1081859,8/5/2022,44778,9:46:02,0.406967593,44778.40697,9.9
"D3stack.tif:	2022:08:09 11:10:4",800653,159.19,100,209,886.77,637.7,387,119,1020,1039,0.23,1.01,0.99,0.97,D3,1009.86825,8/9/2022,44782,11:11:04,0.466018519,44782.46602,14
"D2stack.tif:	2022:08:04 10:34:5",458377,165.19,99,207,936,784.85,551,398,773,781,0.29,1.01,0.99,0.97,D2,578.1535559,8/4/2022,44777,10:31:04,0.438240741,44777.43824,9
"D2stack.tif:	2022:08:05 09:42:5",524008,162.13,98,202,869.97,702.62,464,296,824,828,0.27,1.01,0.99,0.97,D2,660.9343151,8/5/2022,44778,9:46:02,0.406967593,44778.40697,9.9
"D2stack.tif:	2022:08:09 11:10:2",836813,157.09,97,198,890.3,645.53,378,140,1056,1039,0.26,1.01,0.99,0.98,D2,1055.477067,8/9/2022,44782,11:11:04,0.466018519,44782.46602,14
"D1stack.tif:	2022:08:04 10:34:3",437640,167.84,106,221,944.58,757.93,570,393,760,753,0.23,1.01,0.99,0.97,D1,551.9978581,8/4/2022,44777,10:31:04,0.438240741,44777.43824,9
"D1stack.tif:	2022:08:05 09:42:3",508997,170.34,103,216,856.05,669.72,456,276,814,810,0.31,1,1,0.98,D1,642.0008541,8/5/2022,44778,9:46:02,0.406967593,44778.40697,9.9
"D1stack.tif:	2022:08:09 11:10:1",811200,160.49,108,198,972.7,593.1,463,100,1036,1016,0.23,1.02,0.98,0.98,D1,1023.171242,8/9/2022,44782,11:11:04,0.466018519,44782.46602,14
"C3stack.tif:	2022:08:04 10:34:0",396307,168.91,115,223,958.38,776.33,607,415,713,728,0.52,1.01,0.99,0.97,C3,499.8643067,8/4/2022,44777,10:34:00,0.440277778,44777.44028,9
"C3stack.tif:	2022:08:05 09:44:3",417611,165.81,108,216,913.62,661.18,554,303,734,734,0.6,1,1,0.99,C3,526.7351648,8/5/2022,44778,9:44:03,0.405590278,44778.40559,9.9
