Distance_(pixels),Gray_Value
980,51.000
981,51.333
982,50.333
983,50.333
984,50.333
985,49.333
986,49.333
987,48.667
988,48.667
989,49.000
990,49.000
991,49.000
992,49.000
993,49.000
994,49.000
995,48.000
996,48.000
997,48.000
998,47.000
999,45.333
1000,44.333
1001,43.333
1002,43.333
1003,40.333
1004,41.333
1005,41.333
1006,42.000
1007,44.333
1008,1.667
1009,0.333
1010,0.333
1011,0.000
1012,0.000
1013,0.000
1014,0.000
1015,0.000
1016,0.000
1017,0.000
1018,0.000
1019,0.000
1020,0.000
1021,0.000
1022,0.000
1023,0.000
1024,0.000
1025,0.000
1026,0.000
1027,0.000
1028,0.000
1029,0.000
1030,0.000
1031,0.000
1032,0.000
1033,0.000
1034,0.000
1035,0.000
1036,0.000
1037,0.000
1038,0.000
1039,0.000
1040,0.000
1041,0.000
1042,0.000
1043,0.000
1044,0.000
1045,0.000
1046,0.000
1047,0.000
1048,0.000
1049,0.000
1050,0.000
1051,0.000
1052,0.000
1053,0.000
1054,0.000
1055,0.000
1056,0.000
1057,0.000
1058,0.000
1059,0.000
1060,0.000
1061,0.000
1062,0.000
1063,0.000
1064,0.000
1065,0.000
1066,0.000
1067,0.000
1068,0.000
1069,0.000
1070,0.000
1071,0.000
1072,0.000
1073,0.000
1074,0.000
1075,0.000
1076,0.000
1077,0.000
1078,0.000
1079,0.000
1080,0.000
1081,0.000
1082,0.000
1083,0.000
1084,0.000
1085,0.000
1086,0.000
1087,0.000
1088,0.000
1089,0.000
1090,0.000
1091,0.000
1092,0.000
1093,0.000
1094,0.000
1095,0.000
1096,0.000
1097,0.000
1098,0.000
1099,0.000
1100,0.000
1101,0.000
1102,0.000
1103,0.000
1104,0.000
1105,0.000
1106,0.000
1107,0.000
1108,0.000
1109,0.000
1110,0.000
1111,0.000
1112,0.000
1113,0.000
1114,0.000
1115,3.333
1116,5.000
1117,4.333
1118,4.000
1119,7.333
1120,9.667
1121,13.667
1122,20.333
1123,33.333
1124,33.667
1125,34.333
1126,34.333
1127,35.000
1128,35.000
1129,34.333
1130,34.333
1131,34.333
1132,34.333
1133,34.333
1134,35.333
1135,35.333
1136,36.333
1137,36.333
1138,36.333
1139,35.333
1140,35.333
1141,36.000
1142,37.000
1143,37.000
1144,38.000
1145,38.000
1146,38.000
1147,37.333
1148,37.333
1149,37.333
1150,38.333
1151,38.333
1152,39.333
1153,39.333
1154,39.333
1155,39.667
1156,39.667
1157,39.667
1158,39.667
1159,40.000
1160,40.000
1161,40.000
1162,40.000
1163,41.333
1164,41.333
1165,41.333
1166,42.000
1167,42.333
1168,43.333
1169,43.333
1170,43.333
1171,43.667
1172,43.667
1173,44.000
1174,44.667
1175,44.667
1176,45.667
1177,45.667
1178,45.667
1179,45.667
1180,45.667
1181,46.333
1182,47.333
1183,48.000
1184,49.000
1185,49.333
1186,49.333
1187,51.667
1188,51.667
1189,52.333
1190,53.333
1191,53.667
1192,54.667
1193,54.667
1194,54.667
1195,57.333
1196,57.667
1197,58.667
1198,59.667
1199,60.000
1200,61.000
1201,62.667
1202,62.667
1203,64.333
1204,64.333
1205,66.000
1206,67.000
1207,67.667
1208,68.667
1209,70.000
1210,70.000
1211,74.000
1212,74.667
1213,75.667
1214,76.333
1215,79.000
1216,80.000
1217,82.000
1218,83.000
1219,86.000
1220,87.000
1221,89.000
1222,90.333
1223,93.000
1224,94.000
1225,96.333
1226,97.000
1227,101.667
1228,103.333
1229,105.000
1230,107.000
1231,110.667
1232,112.667
1233,115.333
1234,117.000
1235,120.667
1236,121.667
1237,123.667
1238,124.667
1239,125.333
1240,125.333
1241,126.000
1242,124.667
1243,125.000
1244,124.667
1245,124.667
1246,124.667
1247,124.667
1248,124.667
1249,124.667
1250,124.667
1251,123.000
1252,123.000
1253,123.000
1254,123.000
1255,123.000
1256,123.000
1257,123.000
1258,123.667
1259,124.667
1260,124.667
1261,124.667
1262,124.667
1263,124.667
1264,124.667
1265,124.667
1266,124.667
1267,123.000
1268,123.000
1269,123.000
1270,123.000
1271,123.000
1272,123.000
1273,123.000
1274,123.000
1275,126.000
1276,126.000
1277,125.333
1278,125.333
1279,124.667
1280,124.000
1281,123.000
1282,122.667
1283,121.667
1284,120.000
1285,119.000
1286,115.667
1287,114.667
1288,112.000
1289,110.667
1290,108.333
1291,104.333
1292,104.000
1293,101.667
1294,100.000
1295,97.667
1296,96.000
1297,93.667
1298,92.667
1299,88.333
1300,87.000
1301,86.000
1302,83.667
1303,82.667
1304,80.667
1305,79.000
1306,78.000
1307,76.333
1308,75.667
1309,74.333
1310,73.000
1311,71.000
1312,69.333
1313,68.667
1314,67.667
1315,66.333
1316,65.667
1317,63.667
1318,62.667
1319,62.333
1320,61.333
1321,60.333
1322,59.667
1323,59.667
1324,59.000
1325,57.667
1326,56.667
1327,56.333
1328,55.333
1329,53.667
1330,53.667
1331,52.333
1332,52.333
1333,51.667
1334,50.667
1335,50.667
1336,49.667
1337,49.333
1338,49.000
1339,47.667
1340,47.333
1341,47.333
1342,46.333
1343,46.333
1344,45.667
1345,45.333
1346,45.333
1347,45.333
1348,45.333
1349,45.333
1350,44.333
1351,44.333
1352,43.667
1353,43.000
1354,42.333
1355,41.667
1356,41.000
1357,41.000
1358,40.333
1359,40.000
1360,39.333
1361,39.333
1362,39.333
1363,39.667
1364,39.667
1365,39.667
1366,38.667
1367,38.333
1368,37.667
1369,37.667
1370,37.667
1371,37.000
1372,37.000
1373,37.000
1374,37.000
1375,37.000
1376,37.000
1377,36.333
1378,36.333
1379,35.333
1380,35.333
1381,35.333
1382,35.333
1383,35.333
1384,35.333
1385,35.333
1386,35.333
1387,34.333
1388,34.000
1389,34.333
1390,34.000
1391,34.333
1392,35.000
1393,35.333
1394,36.000
1395,35.333
1396,34.000
1397,36.667
1398,28.667
1399,31.667
1400,27.333
1401,8.000
1402,5.667
1403,1.667
1404,0.000
1405,0.000
1406,0.000
1407,0.000
1408,0.000
1409,0.000
1410,0.000
1411,0.000
1412,0.000
1413,0.000
1414,0.000
1415,0.000
1416,0.000
1417,0.000
1418,0.000
1419,0.000
1420,0.000
1421,0.000
1422,0.000
1423,0.000
1424,0.000
1425,0.000
1426,0.000
1427,0.000
1428,0.000
1429,0.000
1430,0.000
1431,0.000
1432,0.000
1433,0.000
1434,0.000
1435,0.000
1436,0.000
1437,0.000
1438,0.000
